1, 1, 125, 159, 55, 168, -1, -1, -1, -1
1, 2, 14, 140, 68, 207, -1, -1, -1, -1
2, 1, 122, 158, 59, 180, -1, -1, -1, -1
2, 2, 14, 140, 68, 207, -1, -1, -1, -1
3, 1, 130, 143, 63, 193, -1, -1, -1, -1
3, 2, 14, 140, 68, 207, -1, -1, -1, -1
3, 3, 249, 198, 20, 63, -1, -1, -1, -1
4, 1, 130, 143, 63, 193, -1, -1, -1, -1
4, 2, 15, 135, 73, 222, -1, -1, -1, -1
4, 4, 237, 193, 19, 59, -1, -1, -1, -1
4, 5, 237, 193, 19, 59, -1, -1, -1, -1
5, 1, 146, 158, 59, 180, -1, -1, -1, -1
5, 2, 28, 140, 68, 207, -1, -1, -1, -1
5, 3, 243, 191, 25, 78, -1, -1, -1, -1
5, 6, 261, 182, 27, 83, -1, -1, -1, -1
5, 7, 217, 205, 19, 59, -1, -1, -1, -1
5, 8, 217, 205, 19, 59, -1, -1, -1, -1
5, 9, 261, 182, 27, 83, -1, -1, -1, -1
6, 1, 146, 158, 59, 180, -1, -1, -1, -1
6, 2, 30, 135, 73, 222, -1, -1, -1, -1
6, 3, 253, 193, 19, 59, -1, -1, -1, -1
6, 6, 271, 202, 20, 63, -1, -1, -1, -1
6, 7, 223, 202, 20, 63, -1, -1, -1, -1
7, 1, 158, 158, 59, 180, -1, -1, -1, -1
7, 2, 30, 135, 73, 222, -1, -1, -1, -1
7, 6, 276, 198, 21, 67, -1, -1, -1, -1
8, 1, 154, 140, 68, 207, -1, -1, -1, -1
8, 2, 33, 129, 79, 239, -1, -1, -1, -1
8, 6, 289, 205, 19, 59, -1, -1, -1, -1
9, 1, 170, 158, 59, 180, -1, -1, -1, -1
9, 2, 49, 129, 79, 239, -1, -1, -1, -1
9, 10, 290, 203, 21, 67, -1, -1, -1, -1
9, 11, 290, 203, 21, 67, -1, -1, -1, -1
10, 1, 169, 156, 63, 193, -1, -1, -1, -1
10, 2, 49, 129, 79, 239, -1, -1, -1, -1
10, 10, 299, 203, 21, 67, -1, -1, -1, -1
11, 1, 182, 156, 63, 193, -1, -1, -1, -1
11, 2, 49, 129, 79, 239, -1, -1, -1, -1
11, 12, 143, 191, 25, 78, -1, -1, -1, -1
11, 13, 286, 185, 25, 78, -1, -1, -1, -1
11, 14, 306, 197, 23, 72, -1, -1, -1, -1
11, 15, 306, 197, 23, 72, -1, -1, -1, -1
11, 16, 143, 191, 25, 78, -1, -1, -1, -1
11, 17, 286, 185, 25, 78, -1, -1, -1, -1
12, 1, 180, 135, 73, 222, -1, -1, -1, -1
12, 2, 65, 129, 79, 239, -1, -1, -1, -1
12, 18, 158, 193, 23, 72, -1, -1, -1, -1
12, 19, 158, 193, 23, 72, -1, -1, -1, -1
13, 1, 196, 154, 68, 207, -1, -1, -1, -1
13, 2, 65, 129, 79, 239, -1, -1, -1, -1
13, 18, 164, 191, 25, 78, -1, -1, -1, -1
14, 1, 208, 156, 63, 193, -1, -1, -1, -1
14, 2, 81, 129, 79, 239, -1, -1, -1, -1
14, 20, 335, 202, 23, 72, -1, -1, -1, -1
14, 21, 313, 153, 39, 119, -1, -1, -1, -1
14, 22, 335, 202, 23, 72, -1, -1, -1, -1
14, 23, 313, 153, 39, 119, -1, -1, -1, -1
15, 1, 209, 129, 79, 239, -1, -1, -1, -1
15, 2, 81, 129, 79, 239, -1, -1, -1, -1
15, 14, 299, 203, 21, 67, -1, -1, -1, -1
15, 21, 350, 203, 21, 67, -1, -1, -1, -1
15, 23, 322, 185, 25, 78, -1, -1, -1, -1
15, 24, 185, 191, 25, 78, -1, -1, -1, -1
